Source,Target,Type,Id,Label,Weight
I,O,Undirected,1867,,0.521835
I,P,Undirected,1868,,0.301193
I,Q,Undirected,1869,,0.482449
I,R,Undirected,1870,,0.511152
I,S,Undirected,1871,,0.274626
J,K,Undirected,1881,,0.383475
J,L,Undirected,1882,,0.535851
J,M,Undirected,1883,,0.423598
J,N,Undirected,1884,,0.207969
J,O,Undirected,1885,,0.382079
J,P,Undirected,1886,,0.411569
J,Q,Undirected,1887,,0.322781
J,R,Undirected,1888,,0.34874
J,S,Undirected,1889,,0.581336
K,L,Undirected,1900,,0.263742
K,M,Undirected,1901,,0.602864
K,N,Undirected,1902,,0.093694
K,O,Undirected,1903,,0.362832
K,P,Undirected,1904,,0.382941
K,Q,Undirected,1905,,0.323934
K,R,Undirected,1906,,0.222259
K,S,Undirected,1907,,0.372777
L,M,Undirected,1919,,0.374487
L,N,Undirected,1920,,0.225651
L,O,Undirected,1921,,0.316484
L,P,Undirected,1922,,0.407535
L,Q,Undirected,1923,,0.360965
L,R,Undirected,1924,,0.416875
L,S,Undirected,1925,,0.411843
M,N,Undirected,1938,,0.114431
M,O,Undirected,1939,,0.560163
M,P,Undirected,1940,,0.413199
M,Q,Undirected,1941,,0.52413
M,R,Undirected,1942,,0.380301
M,S,Undirected,1943,,0.339642
N,O,Undirected,1957,,0.135984
N,P,Undirected,1958,,0.161371
N,Q,Undirected,1959,,0.100243
N,R,Undirected,1960,,0.164003
N,S,Undirected,1961,,0.272108
O,P,Undirected,1976,,0.226607
O,Q,Undirected,1977,,0.250585
O,R,Undirected,1978,,0.260339
O,S,Undirected,1979,,0.3766
P,Q,Undirected,1995,,0.396589
P,R,Undirected,1996,,0.410468
P,S,Undirected,1997,,0.456925
Q,R,Undirected,2014,,0.478214
Q,S,Undirected,2015,,0.293811
R,S,Undirected,2033,,0.331696
